id,name,entity,iso_code,gwno,slug,region.id,region.name,Tracker,Country,tracker_slug,base_url,tracker_url,timeline_url,process_url,actors_url,impacts_url,sub-region_geo,region_geo,central_longitude,central_latitude,country_geo,con_name_geo,search_pax
87,Moldova,False,MDA,359,moldova,4,Europe and Eurasia,,,,,,,,,,Eastern Europe,Europe,28.46371,47.20103,MDA,Moldova,https://www.peaceagreements.org/agreements/search/?search_type=basic-search&countries=87&match_any_issues=True&name=&text=&signed_after=&signed_before=
180,Mongolia,False,MNG,712,mongolia,4,Europe and Eurasia,,,,,,,,,,Eastern Asia,Asia,103.0676,46.83469,MNG,Mongolia,https://www.peaceagreements.org/agreements/search/?search_type=basic-search&countries=180&match_any_issues=True&name=&text=&signed_after=&signed_before=
89,Montenegro,False,MNE,341,montenegro,4,Europe and Eurasia,,,,,,,,,,Southern Europe,Europe,19.2521,42.79615,MNE,Montenegro,https://www.peaceagreements.org/agreements/search/?search_type=basic-search&countries=89&match_any_issues=True&name=&text=&signed_after=&signed_before=
90,Morocco,False,MAR,600,morocco,5,Middle East and North Africa,,,,,,,,,,Northern Africa,Africa,-5.0,32.0,MAR,Kingdom of Morocco,https://www.peaceagreements.org/agreements/search/?search_type=basic-search&countries=90&match_any_issues=True&name=&text=&signed_after=&signed_before=
91,Mozambique,False,MOZ,541,mozambique,1,Africa (excl MENA),,,,,,,,,,Sub-Saharan Africa,Africa,35.0,-18.25,MOZ,Mozambique,https://www.peaceagreements.org/agreements/search/?search_type=basic-search&countries=91&match_any_issues=True&name=&text=&signed_after=&signed_before=
92,Myanmar,False,MMR,775,myanmar,3,Asia and Pacific,1.0,Myanmar,myanmar,https://www.peaceagreements.org/tracker/,https://www.peaceagreements.org/tracker/myanmar,https://www.peaceagreements.org/tracker/timeline/myanmar,https://www.peaceagreements.org/tracker/process/myanmar,https://www.peaceagreements.org/tracker/actors/myanmar,https://www.peaceagreements.org/tracker/impacts/myanmar,South-eastern Asia,Asia,96.50374,21.10066,MMR,Burma,https://www.peaceagreements.org/agreements/search/?search_type=basic-search&countries=92&match_any_issues=True&name=&text=&signed_after=&signed_before=
96,Namibia,False,NAM,565,namibia,1,Africa (excl MENA),,,,,,,,,,Sub-Saharan Africa,Africa,17.2215,-22.139,NAM,Namibia,https://www.peaceagreements.org/agreements/search/?search_type=basic-search&countries=96&match_any_issues=True&name=&text=&signed_after=&signed_before=
97,Nepal,False,NPL,790,nepal,3,Asia and Pacific,,,,,,,,,,Southern Asia,Asia,83.94416,28.25914,NPL,Nepal,https://www.peaceagreements.org/agreements/search/?search_type=basic-search&countries=97&match_any_issues=True&name=&text=&signed_after=&signed_before=
99,New Zealand,False,NZL,920,new-zealand,3,Asia and Pacific,,,,,,,,,,Australia and New Zealand,Oceania,172.3434,-42.2872,NZL,New Zealand,https://www.peaceagreements.org/agreements/search/?search_type=basic-search&countries=99&match_any_issues=True&name=&text=&signed_after=&signed_before=
100,Nicaragua,False,NIC,93,nicaragua,2,Americas,,,,,,,,,,Latin America and the Caribbean,Americas,-85.0062,12.93446,NIC,Nicaragua,https://www.peaceagreements.org/agreements/search/?search_type=basic-search&countries=100&match_any_issues=True&name=&text=&signed_after=&signed_before=
101,Niger,False,NER,436,niger,1,Africa (excl MENA),,,,,,,,,,Sub-Saharan Africa,Africa,9.401673,17.42088,NER,Niger,https://www.peaceagreements.org/agreements/search/?search_type=basic-search&countries=101&match_any_issues=True&name=&text=&signed_after=&signed_before=
102,Nigeria,False,NGA,475,nigeria,1,Africa (excl MENA),,,,,,,,,,Sub-Saharan Africa,Africa,8.106778,9.593697,NGA,Nigeria,https://www.peaceagreements.org/agreements/search/?search_type=basic-search&countries=102&match_any_issues=True&name=&text=&signed_after=&signed_before=
103,North Korea,False,PRK,731,north-korea,3,Asia and Pacific,,,,,,,,,,Eastern Asia,Asia,127.1697,40.14183,PRK,Dem People's Republic of Korea,https://www.peaceagreements.org/agreements/search/?search_type=basic-search&countries=103&match_any_issues=True&name=&text=&signed_after=&signed_before=
109,Pakistan,False,PAK,770,pakistan,3,Asia and Pacific,,,,,,,,,,Southern Asia,Asia,70.2101,30.31428,PAK,Pakistan,https://www.peaceagreements.org/agreements/search/?search_type=basic-search&countries=109&match_any_issues=True&name=&text=&signed_after=&signed_before=
186,Panama,False,PAN,95,panama,2,Americas,,,,,,,,,,Latin America and the Caribbean,Americas,-79.9729,8.939604,PAN,Panama,https://www.peaceagreements.org/agreements/search/?search_type=basic-search&countries=186&match_any_issues=True&name=&text=&signed_after=&signed_before=
111,Papua New Guinea,False,PNG,910,papua-new-guinea,3,Asia and Pacific,,,,,,,,,,Melanesia,Oceania,145.2538,-6.47559,PNG,Papua New Guinea,https://www.peaceagreements.org/agreements/search/?search_type=basic-search&countries=111&match_any_issues=True&name=&text=&signed_after=&signed_before=
112,Peru,False,PER,135,peru,2,Americas,,,,,,,,,,Latin America and the Caribbean,Americas,-76.0,-10.0,PER,Peru,https://www.peaceagreements.org/agreements/search/?search_type=basic-search&countries=112&match_any_issues=True&name=&text=&signed_after=&signed_before=
113,Philippines,False,PHL,840,philippines,3,Asia and Pacific,1.0,Philippines,philippines,https://www.peaceagreements.org/tracker/,https://www.peaceagreements.org/tracker/philippines,https://www.peaceagreements.org/tracker/timeline/philippines,https://www.peaceagreements.org/tracker/process/philippines,https://www.peaceagreements.org/tracker/actors/philippines,https://www.peaceagreements.org/tracker/impacts/philippines,South-eastern Asia,Asia,120.8616,14.16486,PHL,Philippines,https://www.peaceagreements.org/agreements/search/?search_type=basic-search&countries=113&match_any_issues=True&name=&text=&signed_after=&signed_before=
154,Portugal,False,PRT,235,portugal,4,Europe and Eurasia,,,,,,,,,,Southern Europe,Europe,-8.51981,39.59314,PRT,Portugal,https://www.peaceagreements.org/agreements/search/?search_type=basic-search&countries=154&match_any_issues=True&name=&text=&signed_after=&signed_before=
35,Republic of Congo,False,COG,484,republic-of-congo,1,Africa (excl MENA),,,,,,,,,,Sub-Saharan Africa,Africa,15.23529,-0.82177,COG,"Congo, Republic of the",https://www.peaceagreements.org/agreements/search/?search_type=basic-search&countries=35&match_any_issues=True&name=&text=&signed_after=&signed_before=
