AgtId,name,iso_code,gwno,id,entity,region.name,region_geo,central_longitude,central_latitude,search_pax
38,Liberia,LBR,450.0,76.0,False,Africa (excl MENA),Africa,-9.31039,6.447343,https://www.peaceagreements.org/agreements/search/?search_type=basic-search&countries=76&match_any_issues=True&name=&text=&signed_after=&signed_before=
163,Colombia,COL,100.0,32.0,False,Americas,Americas,-73.0758,3.901116,https://www.peaceagreements.org/agreements/search/?search_type=basic-search&countries=32&match_any_issues=True&name=&text=&signed_after=&signed_before=
1228,Slovenia,SVN,349.0,122.0,False,Europe and Eurasia,Europe,14.82176,46.11955,https://www.peaceagreements.org/agreements/search/?search_type=basic-search&countries=122&match_any_issues=True&name=&text=&signed_after=&signed_before=
422,Croatia,HRV,344.0,38.0,False,Europe and Eurasia,Europe,15.43562,45.11868,https://www.peaceagreements.org/agreements/search/?search_type=basic-search&countries=38&match_any_issues=True&name=&text=&signed_after=&signed_before=
1229,Croatia,HRV,344.0,38.0,False,Europe and Eurasia,Europe,15.43562,45.11868,https://www.peaceagreements.org/agreements/search/?search_type=basic-search&countries=38&match_any_issues=True&name=&text=&signed_after=&signed_before=
1102,Colombia,COL,100.0,32.0,False,Americas,Americas,-73.0758,3.901116,https://www.peaceagreements.org/agreements/search/?search_type=basic-search&countries=32&match_any_issues=True&name=&text=&signed_after=&signed_before=
1300,Ethiopia,ETH,530.0,49.0,False,Africa (excl MENA),Africa,39.64475,8.619089,https://www.peaceagreements.org/agreements/search/?search_type=basic-search&countries=49&match_any_issues=True&name=&text=&signed_after=&signed_before=
383,Guatemala,GTM,90.0,56.0,False,Americas,Americas,-90.364,15.69724,https://www.peaceagreements.org/agreements/search/?search_type=basic-search&countries=56&match_any_issues=True&name=&text=&signed_after=&signed_before=
39,Liberia,LBR,450.0,76.0,False,Africa (excl MENA),Africa,-9.31039,6.447343,https://www.peaceagreements.org/agreements/search/?search_type=basic-search&countries=76&match_any_issues=True&name=&text=&signed_after=&signed_before=
449,South Africa,ZAF,560.0,125.0,False,Africa (excl MENA),Africa,25.08505,-28.9972,https://www.peaceagreements.org/agreements/search/?search_type=basic-search&countries=125&match_any_issues=True&name=&text=&signed_after=&signed_before=
1647,Croatia,HRV,344.0,38.0,False,Europe and Eurasia,Europe,15.43562,45.11868,https://www.peaceagreements.org/agreements/search/?search_type=basic-search&countries=38&match_any_issues=True&name=&text=&signed_after=&signed_before=
1448,Croatia,HRV,344.0,38.0,False,Europe and Eurasia,Europe,15.43562,45.11868,https://www.peaceagreements.org/agreements/search/?search_type=basic-search&countries=38&match_any_issues=True&name=&text=&signed_after=&signed_before=
1103,Colombia,COL,100.0,32.0,False,Americas,Americas,-73.0758,3.901116,https://www.peaceagreements.org/agreements/search/?search_type=basic-search&countries=32&match_any_issues=True&name=&text=&signed_after=&signed_before=
462,South Africa,ZAF,560.0,125.0,False,Africa (excl MENA),Africa,25.08505,-28.9972,https://www.peaceagreements.org/agreements/search/?search_type=basic-search&countries=125&match_any_issues=True&name=&text=&signed_after=&signed_before=
40,Liberia,LBR,450.0,76.0,False,Africa (excl MENA),Africa,-9.31039,6.447343,https://www.peaceagreements.org/agreements/search/?search_type=basic-search&countries=76&match_any_issues=True&name=&text=&signed_after=&signed_before=
1449,Croatia,HRV,344.0,38.0,False,Europe and Eurasia,Europe,15.43562,45.11868,https://www.peaceagreements.org/agreements/search/?search_type=basic-search&countries=38&match_any_issues=True&name=&text=&signed_after=&signed_before=
1450,Croatia,HRV,344.0,38.0,False,Europe and Eurasia,Europe,15.43562,45.11868,https://www.peaceagreements.org/agreements/search/?search_type=basic-search&countries=38&match_any_issues=True&name=&text=&signed_after=&signed_before=
611,Armenia,ARM,371.0,12.0,False,Europe and Eurasia,Asia,44.94022,40.29308,https://www.peaceagreements.org/agreements/search/?search_type=basic-search&countries=12&match_any_issues=True&name=&text=&signed_after=&signed_before=
467,El Salvador,SLV,92.0,47.0,False,Americas,Americas,-88.8657,13.73347,https://www.peaceagreements.org/agreements/search/?search_type=basic-search&countries=47&match_any_issues=True&name=&text=&signed_after=&signed_before=
601,El Salvador,SLV,92.0,47.0,False,Americas,Americas,-88.8657,13.73347,https://www.peaceagreements.org/agreements/search/?search_type=basic-search&countries=47&match_any_issues=True&name=&text=&signed_after=&signed_before=
1648,Croatia,HRV,344.0,38.0,False,Europe and Eurasia,Europe,15.43562,45.11868,https://www.peaceagreements.org/agreements/search/?search_type=basic-search&countries=38&match_any_issues=True&name=&text=&signed_after=&signed_before=
1451,Croatia,HRV,344.0,38.0,False,Europe and Eurasia,Europe,15.43562,45.11868,https://www.peaceagreements.org/agreements/search/?search_type=basic-search&countries=38&match_any_issues=True&name=&text=&signed_after=&signed_before=
493,Mozambique,MOZ,541.0,91.0,False,Africa (excl MENA),Africa,35.0,-18.25,https://www.peaceagreements.org/agreements/search/?search_type=basic-search&countries=91&match_any_issues=True&name=&text=&signed_after=&signed_before=
1452,Croatia,HRV,344.0,38.0,False,Europe and Eurasia,Europe,15.43562,45.11868,https://www.peaceagreements.org/agreements/search/?search_type=basic-search&countries=38&match_any_issues=True&name=&text=&signed_after=&signed_before=
243,Cambodia,KHM,811.0,23.0,False,Asia and Pacific,Asia,104.9112,12.70904,https://www.peaceagreements.org/agreements/search/?search_type=basic-search&countries=23&match_any_issues=True&name=&text=&signed_after=&signed_before=
252,Cambodia,KHM,811.0,23.0,False,Asia and Pacific,Asia,104.9112,12.70904,https://www.peaceagreements.org/agreements/search/?search_type=basic-search&countries=23&match_any_issues=True&name=&text=&signed_after=&signed_before=
364,Cambodia,KHM,811.0,23.0,False,Asia and Pacific,Asia,104.9112,12.70904,https://www.peaceagreements.org/agreements/search/?search_type=basic-search&countries=23&match_any_issues=True&name=&text=&signed_after=&signed_before=
378,Cambodia,KHM,811.0,23.0,False,Asia and Pacific,Asia,104.9112,12.70904,https://www.peaceagreements.org/agreements/search/?search_type=basic-search&countries=23&match_any_issues=True&name=&text=&signed_after=&signed_before=
33,Israel,ISR,666.0,67.0,False,Middle East and North Africa,Asia,34.97922,31.97771,https://www.peaceagreements.org/agreements/search/?search_type=basic-search&countries=67&match_any_issues=True&name=&text=&signed_after=&signed_before=
564,Liberia,LBR,450.0,76.0,False,Africa (excl MENA),Africa,-9.31039,6.447343,https://www.peaceagreements.org/agreements/search/?search_type=basic-search&countries=76&match_any_issues=True&name=&text=&signed_after=&signed_before=
1879,Croatia,HRV,344.0,38.0,False,Europe and Eurasia,Europe,15.43562,45.11868,https://www.peaceagreements.org/agreements/search/?search_type=basic-search&countries=38&match_any_issues=True&name=&text=&signed_after=&signed_before=
1649,Croatia,HRV,344.0,38.0,False,Europe and Eurasia,Europe,15.43562,45.11868,https://www.peaceagreements.org/agreements/search/?search_type=basic-search&countries=38&match_any_issues=True&name=&text=&signed_after=&signed_before=
1104,Colombia,COL,100.0,32.0,False,Americas,Americas,-73.0758,3.901116,https://www.peaceagreements.org/agreements/search/?search_type=basic-search&countries=32&match_any_issues=True&name=&text=&signed_after=&signed_before=
494,Mozambique,MOZ,541.0,91.0,False,Africa (excl MENA),Africa,35.0,-18.25,https://www.peaceagreements.org/agreements/search/?search_type=basic-search&countries=91&match_any_issues=True&name=&text=&signed_after=&signed_before=
1650,Croatia,HRV,344.0,38.0,False,Europe and Eurasia,Europe,15.43562,45.11868,https://www.peaceagreements.org/agreements/search/?search_type=basic-search&countries=38&match_any_issues=True&name=&text=&signed_after=&signed_before=
1651,Croatia,HRV,344.0,38.0,False,Europe and Eurasia,Europe,15.43562,45.11868,https://www.peaceagreements.org/agreements/search/?search_type=basic-search&countries=38&match_any_issues=True&name=&text=&signed_after=&signed_before=
196,Cambodia,KHM,811.0,23.0,False,Asia and Pacific,Asia,104.9112,12.70904,https://www.peaceagreements.org/agreements/search/?search_type=basic-search&countries=23&match_any_issues=True&name=&text=&signed_after=&signed_before=
1453,Croatia,HRV,344.0,38.0,False,Europe and Eurasia,Europe,15.43562,45.11868,https://www.peaceagreements.org/agreements/search/?search_type=basic-search&countries=38&match_any_issues=True&name=&text=&signed_after=&signed_before=
318,Croatia,HRV,344.0,38.0,False,Europe and Eurasia,Europe,15.43562,45.11868,https://www.peaceagreements.org/agreements/search/?search_type=basic-search&countries=38&match_any_issues=True&name=&text=&signed_after=&signed_before=
1454,Croatia,HRV,344.0,38.0,False,Europe and Eurasia,Europe,15.43562,45.11868,https://www.peaceagreements.org/agreements/search/?search_type=basic-search&countries=38&match_any_issues=True&name=&text=&signed_after=&signed_before=
1173,Croatia,HRV,344.0,38.0,False,Europe and Eurasia,Europe,15.43562,45.11868,https://www.peaceagreements.org/agreements/search/?search_type=basic-search&countries=38&match_any_issues=True&name=&text=&signed_after=&signed_before=
1455,Croatia,HRV,344.0,38.0,False,Europe and Eurasia,Europe,15.43562,45.11868,https://www.peaceagreements.org/agreements/search/?search_type=basic-search&countries=38&match_any_issues=True&name=&text=&signed_after=&signed_before=
1456,Croatia,HRV,344.0,38.0,False,Europe and Eurasia,Europe,15.43562,45.11868,https://www.peaceagreements.org/agreements/search/?search_type=basic-search&countries=38&match_any_issues=True&name=&text=&signed_after=&signed_before=
1457,Croatia,HRV,344.0,38.0,False,Europe and Eurasia,Europe,15.43562,45.11868,https://www.peaceagreements.org/agreements/search/?search_type=basic-search&countries=38&match_any_issues=True&name=&text=&signed_after=&signed_before=
1232,North Korea,PRK,731.0,103.0,False,Asia and Pacific,Asia,127.1697,40.14183,https://www.peaceagreements.org/agreements/search/?search_type=basic-search&countries=103&match_any_issues=True&name=&text=&signed_after=&signed_before=
1888,Croatia,HRV,344.0,38.0,False,Europe and Eurasia,Europe,15.43562,45.11868,https://www.peaceagreements.org/agreements/search/?search_type=basic-search&countries=38&match_any_issues=True&name=&text=&signed_after=&signed_before=
186,South Africa,ZAF,560.0,125.0,False,Africa (excl MENA),Africa,25.08505,-28.9972,https://www.peaceagreements.org/agreements/search/?search_type=basic-search&countries=125&match_any_issues=True&name=&text=&signed_after=&signed_before=
1880,Croatia,HRV,344.0,38.0,False,Europe and Eurasia,Europe,15.43562,45.11868,https://www.peaceagreements.org/agreements/search/?search_type=basic-search&countries=38&match_any_issues=True&name=&text=&signed_after=&signed_before=
465,El Salvador,SLV,92.0,47.0,False,Americas,Americas,-88.8657,13.73347,https://www.peaceagreements.org/agreements/search/?search_type=basic-search&countries=47&match_any_issues=True&name=&text=&signed_after=&signed_before=
1019,Croatia,HRV,344.0,38.0,False,Europe and Eurasia,Europe,15.43562,45.11868,https://www.peaceagreements.org/agreements/search/?search_type=basic-search&countries=38&match_any_issues=True&name=&text=&signed_after=&signed_before=
1020,El Salvador,SLV,92.0,47.0,False,Americas,Americas,-88.8657,13.73347,https://www.peaceagreements.org/agreements/search/?search_type=basic-search&countries=47&match_any_issues=True&name=&text=&signed_after=&signed_before=
474,El Salvador,SLV,92.0,47.0,False,Americas,Americas,-88.8657,13.73347,https://www.peaceagreements.org/agreements/search/?search_type=basic-search&countries=47&match_any_issues=True&name=&text=&signed_after=&signed_before=
