actor_id,id_paax,actor_name,actor_type,sub_type,cs_type,abbreviation,actor_iso3c,actor_country,actor_gwno,actor_region,un_type,international,regional,domestic,women,ucdp_id,ucdp_name,ucdp_url,acled_name,acled_other,actor_desc
738,POL_738,Al - Haqq,Political Party,,,,YEM,Yemen,678.0,Asia,,,,,,,,,,,Al - Haqq  is a Political Party based in Yemen.
739,ENT_739,Palestine,Entity,,,,PSE,Palestine,667.0,Asia,,,,,,,,,,,Palestine is an entity (Palestine).
740,ARM_740,Fatah,Armed Organization,,,,PSE,Palestine,667.0,Asia,,,,,,207.0,Fatah,https://ucdp.uu.se/actor/207,Fatah Movement,Harakat al-Tahrir al-Watani al-Filastini,Fatah  is an Armed Organization based in Palestine.
741,ARM_741,Hamas,Armed Organization,,,,PSE,Palestine,667.0,Asia,,,,,,209.0,Hamas,https://ucdp.uu.se/actor/209,Hamas Movement,Harakat al-Muqawarna al-Islamiyya,Hamas  is an Armed Organization based in Palestine.
742,NGO_742,Women's Societies,Civil Society,Non-governmental Organization,Women,,BHR,Bahrain,692.0,Asia,,,,1.0,1.0,,,,,,Women's Societies is a civil society representative for women in Bahrain.
743,POL_743,Political Societies,Political Party,,,,BHR,Bahrain,692.0,Asia,,,,,,,,,,,Political Societies  is a Political Party based in Bahrain.
744,NGO_744,Civil Society,Civil Society,Non-governmental Organization,Other,,BHR,Bahrain,692.0,Asia,,,,1.0,,,,,,,Civil Society is a non-governmental organisation/civil society representative based in Bahrain.
745,OTH_745,Media,Other,,,,BHR,Bahrain,692.0,Asia,,,,1.0,,,,,,,Media is an Other actor.
746,NGO_746,Youth Societies,Civil Society,Non-governmental Organization,Other,,BHR,Bahrain,692.0,Asia,,,,1.0,,,,,,,Youth Societies is a non-governmental organisation/civil society representative based in Bahrain.
747,NGO_747,Labour Unions,Civil Society,Unions,,,BHR,Bahrain,692.0,Asia,,,,1.0,,,,,,,Labour Unions is a representative of unions in Bahrain.
748,OTH_748,Governing Council,Government/state,,,,IRQ,Iraq,645.0,Asia,,,,1.0,,,,,,,Governing Council is an Government/state actor.
749,OTH_749,Coalition Provisional Authority,Other,,,,,,,,,1.0,,1.0,,8094.0,Islah,https://ucdp.uu.se/actor/8094,,,Coalition Provisional Authority is an Other actor.
750,IGO_750,United Nations Support Mission in Libya (UNSMIL),Intergovernmental Organization,,,UNSMIL,,,,,UN Mission,1.0,,,,,,,,,United Nations Support Mission in Libya (UNSMIL) (UNSMIL) is a mission led by the United Nations.
751,ARM_751,"Liberation Army of Presevo, Medvedja and Bujanovac",Armed Organization,,,UÇPMB,ALB,Albania,339.0,Europe,,,,,,,,,,,"Liberation Army of Presevo, Medvedja and Bujanovac (UÇPMB) is an Armed Organization based in Albania."
753,ARM_753,DKBA-5,Armed Organization,,,,MMR,Myanmar (Burma),775.0,Asia,,,,,,,,,,,DKBA-5  is an Armed Organization based in Myanmar (Burma).
754,ARM_754,Karen National Union,Armed Organization,,,,MMR,Myanmar (Burma),775.0,Asia,,,,,,180.0,KNU,https://ucdp.uu.se/actor/180,KNU/KNLA: Karen National Union/Karen National Liberation Army,,Karen National Union  is an Armed Organization based in Myanmar (Burma).
755,ARM_755,Pa-O National Liberation Army,Armed Organization,,,,MMR,Myanmar (Burma),775.0,Asia,,,,,,,,,PNLO/PNLA: Pa-Oh National Liberation Organization/Pa-Oh National Liberation Army,,Pa-O National Liberation Army  is an Armed Organization based in Myanmar (Burma).
756,ARM_756,Restoration Council of Shan State,Armed Organization,,,,MMR,Myanmar (Burma),775.0,Asia,,,,,,256.0,RCSS,https://ucdp.uu.se/actor/256,,,Restoration Council of Shan State  is an Armed Organization based in Myanmar (Burma).
757,ARM_757,Lahu Democratic Union,Armed Organization,,,LDU,MMR,Myanmar (Burma),775.0,Asia,,,,,,,,,,,Lahu Democratic Union (LDU) is an Armed Organization based in Myanmar (Burma).
758,ARM_758,Arakan Liberation Party,Armed Organization,,,ALP,MMR,Myanmar (Burma),775.0,Asia,,,,,,1048.0,ALP,https://ucdp.uu.se/actor/1048,ALP/ALA: Arakan Liberation Party/Arakan Liberation Army,,Arakan Liberation Party (ALP) is an Armed Organization based in Myanmar (Burma).
759,ARM_759,All Burma Students Democratic Front,Armed Organization,,,,MMR,Myanmar (Burma),775.0,Asia,,,,,,,,,,,All Burma Students Democratic Front  is an Armed Organization based in Myanmar (Burma).
760,ARM_760,Division 13,Armed Organization,,,,SYR,Syria,652.0,Asia,,,,,,,,,13th Division,,Division 13  is an Armed Organization based in Syria.
761,ARM_761,Jaysh al-Fateheen,Armed Organization,,,,SYR,Syria,652.0,Asia,,,,,,,,,,,Jaysh al-Fateheen  is an Armed Organization based in Syria.
762,ARM_762,Jaysh al-Mujahideen,Armed Organization,,,,SYR,Syria,652.0,Asia,,,,,,6012.0,Mujahideen Army,https://ucdp.uu.se/actor/6012,Army of Mujahideen,,Jaysh al-Mujahideen  is an Armed Organization based in Syria.
763,ARM_763,Division 101,Armed Organization,,,,SYR,Syria,652.0,Asia,,,,,,6439.0,101st Infantry Division,https://ucdp.uu.se/actor/6439,,,Division 101  is an Armed Organization based in Syria.
764,ARM_764,Division 16 Infantry,Armed Organization,,,,SYR,Syria,652.0,Asia,,,,,,7443.0,,https://ucdp.uu.se/actor/7443,,,Division 16 Infantry  is an Armed Organization based in Syria.
765,ARM_765,Sukur Al-Jabal Brigade,Armed Organization,,,,SYR,Syria,652.0,Asia,,,,,,6440.0,Suqour al-Jabal,https://ucdp.uu.se/actor/6440,,,Sukur Al-Jabal Brigade  is an Armed Organization based in Syria.
766,ARM_766,Shuhadaa Al-Islam Brigade,Armed Organization,,,,SYR,Syria,652.0,Asia,,,,,,,,,,,Shuhadaa Al-Islam Brigade  is an Armed Organization based in Syria.
767,ARM_767,Liwa Al-Haq,Armed Organization,,,,SYR,Syria,652.0,Asia,,,,,,6405.0,Liwa al-Haq Idlib,https://ucdp.uu.se/actor/6405,Liwa al Haqq (Idleb),,Liwa Al-Haq  is an Armed Organization based in Syria.
768,ARM_768,Ahrar Al-Sham Movement,Armed Organization,,,AAS,SYR,Syria,652.0,Asia,,,,,,5554.0,Ahrar al-Sham,https://ucdp.uu.se/actor/5554,AAS: Ahrar al Sham,,Ahrar Al-Sham Movement (AAS) is an Armed Organization based in Syria.
769,ARM_769,Seif Allah Brigade,Armed Organization,,,,SYR,Syria,652.0,Asia,,,,,,,,,,,Seif Allah Brigade  is an Armed Organization based in Syria.
770,ARM_770,Al-Safwa Brigades,Armed Organization,,,,SYR,Syria,652.0,Asia,,,,,,,,,,,Al-Safwa Brigades  is an Armed Organization based in Syria.
771,ARM_771,Tawhid Army (Jaysh Al-Tawhid),Armed Organization,,,,SYR,Syria,652.0,Asia,,,,,,3232.0,al-Tawhid Brigade,https://ucdp.uu.se/actor/3232,Jaysh al Tawhid,,Tawhid Army (Jaysh Al-Tawhid)  is an Armed Organization based in Syria.
772,ARM_772,Al-Sultan Murad Division,Armed Organization,,,,SYR,Syria,652.0,Asia,,,,,,6828.0,,https://ucdp.uu.se/actor/6828,Sultan Murad Division,,Al-Sultan Murad Division  is an Armed Organization based in Syria.
773,ARM_773,Fursan Al-Haqq Brigade,Armed Organization,,,,SYR,Syria,652.0,Asia,,,,,,6438.0,Liwa Fursan al-Haqq,https://ucdp.uu.se/actor/6438,Liwa al Fursan,,Fursan Al-Haqq Brigade  is an Armed Organization based in Syria.
