AgtId,name,iso_code,gwno,id,entity,region.name,region_geo,central_longitude,central_latitude
246,El Salvador,SLV,92,47.0,False,Americas,Americas,-88.8657,13.73347
34,Israel,ISR,666,67.0,False,Middle East and North Africa,Asia,34.97922,31.97771
1730,Armenia,ARM,371,12.0,False,Europe and Eurasia,Asia,44.94022,40.29308
357,Israel,ISR,666,67.0,False,Middle East and North Africa,Asia,34.97922,31.97771
1731,Armenia,ARM,371,12.0,False,Europe and Eurasia,Asia,44.94022,40.29308
222,Israel,ISR,666,67.0,False,Middle East and North Africa,Asia,34.97922,31.97771
1701,Georgia,GEO,372,55.0,False,Europe and Eurasia,Asia,45.0,42.5
1464,Croatia,HRV,344,38.0,False,Europe and Eurasia,Europe,15.43562,45.11868
472,Bosnia and Herzegovina,BIH,346,20.0,False,Europe and Eurasia,Europe,17.78525,44.16825
1693,Georgia,GEO,372,55.0,False,Europe and Eurasia,Asia,45.0,42.5
31,India,IND,750,62.0,False,Asia and Pacific,Asia,79.44333,23.37938
1916,Kenya,KEN,501,70.0,False,Africa (excl MENA),Africa,37.8897,0.528431
1569,Bosnia and Herzegovina,BIH,346,20.0,False,Europe and Eurasia,Europe,17.78525,44.16825
2606,Sudan,SDN,625,130.0,False,Africa (excl MENA),Africa,30.00919,16.05325
1297,Bosnia and Herzegovina,BIH,346,20.0,False,Europe and Eurasia,Europe,17.78525,44.16825
187,Philippines,PHL,840,113.0,False,Asia and Pacific,Asia,120.8616,14.16486
1493,Bosnia and Herzegovina,BIH,346,20.0,False,Europe and Eurasia,Europe,17.78525,44.16825
1202,Bosnia and Herzegovina,BIH,346,20.0,False,Europe and Eurasia,Europe,17.78525,44.16825
407,South Africa,ZAF,560,125.0,False,Africa (excl MENA),Africa,25.08505,-28.9972
1494,Bosnia and Herzegovina,BIH,346,20.0,False,Europe and Eurasia,Europe,17.78525,44.16825
1871,Bosnia and Herzegovina,BIH,346,20.0,False,Europe and Eurasia,Europe,17.78525,44.16825
12,Georgia,GEO,372,55.0,False,Europe and Eurasia,Asia,45.0,42.5
127,Ireland,IRL,205,65.0,False,Europe and Eurasia,Europe,-8.14601,53.17588
1849,Bosnia and Herzegovina,BIH,346,20.0,False,Europe and Eurasia,Europe,17.78525,44.16825
1341,Colombia,COL,100,32.0,False,Americas,Americas,-73.0758,3.901116
382,Guatemala,GTM,90,56.0,False,Americas,Americas,-90.364,15.69724
13,Georgia,GEO,372,55.0,False,Europe and Eurasia,Asia,45.0,42.5
1110,Colombia,COL,100,32.0,False,Americas,Americas,-73.0758,3.901116
1298,Bosnia and Herzegovina,BIH,346,20.0,False,Europe and Eurasia,Europe,17.78525,44.16825
1875,Croatia,HRV,344,38.0,False,Europe and Eurasia,Europe,15.43562,45.11868
